variable,label,type,value_labels,n_value_labels,n_2017,n_2020,source,versions,label_variants,value_label_conflicts
s5q4_18_c,5.4.18 Amount spent for the purchase of improved seeds ( RWF),int32,,0,264,0,,,,
s0q7,0.7 Household number,int16,,0,0,10666,,,,
s0q9,0.9 Marital status of Household Head,int8,"1=Single, 2=Married with certificate, 3=Married monogamously without certificate, 4=Married Polygamous, 5=Widowed …",7,0,10666,,,,
s0q10,0.10 Which Ubudehe category does the household belong in,int8,"1=Category 1, 2=Category 2, 3=Category 3, 4=Category 4, 5=Unclassified",5,0,10666,,,,
s0q12,0.12 Is the respondent the Household head,int8,"1=Yes, 2=No",2,0,10666,,,,
s0q15,0.15 Relationship of respondent to the Household head,int8,"1=Spouse, 2=Child, 3=Relative, 4=Parent, 5=Housekeeper/Manager …",6,0,3717,,,,
s0q16_1,0.16.1 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,10666,,,,
s0q16_2,0.16.2 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,7766,,,,
s0q16_3,0.16.3 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,1124,,,,
s0q16_4,0.16.4 Agricultural activity of the Household,int8,"1=Cropping, 2=Livestock, 3=Aquaculture/Pisciculture, 4=Forestry, 5=Apiculture …",7,0,63,,,,
s0q17,0.17 Is agriculture the main livelihood activity of your household,int8,"1=Yes, 2=No",2,0,10666,,,,
s0q18,0.18 What is the other non-agricultural activity which  support your household,int8,"1=Daily Labour, 2=Fishing, Hunting, Gathering, 3=Skilled labor, 4=Purchase and Sale of agricultural products, 5=Purchase and sale of livestock …",16,0,10666,,,,
s2q14,2.14 Did any member of your HH grow crops during 2019/2020 agricultural year?,int8,"1=Yes, 2=No",2,0,10666,,,,
crops_grown,Crops (in numbers) grown by the household,int8,,0,0,10666,,,,
s2q15_1,2.15.1 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,10297,,,,
s2q15_2,2.15.2 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,9592,,,,
s2q15_3,2.15.3 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,7543,,,,
s2q15_4,2.15.4 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,5433,,,,
s2q15_5,2.15.5 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,3801,,,,
s2q15_6,2.15.6 Which crops that have been grown?,int8,"1=Maize, 2=Paddy rice, 3=Sorghum, 4=Wheat, 5=Bush bean …",19,0,2647,,,,
